customer_id,customer_name,gender,age,state,region,customer_segment,created_date
C00001,Oliver Lopez,Female,76,NC,South,Individual,2025-04-13
C00002,Sophia Lopez,Female,30,CA,West,Enterprise,2024-10-01
C00003,Leo Smith,Other,40,TX,South,Enterprise,2024-10-24
C00004,Levi Jones,Male,21,NY,Northeast,Enterprise,2025-02-19
C00005,Elijah Anderson,Female,77,NY,Northeast,Small Business,2025-04-07
C00006,Ethan Gonzalez,Female,67,TX,South,Enterprise,2023-03-05
C00007,Luna Martinez,Male,72,OH,Midwest,Family,2024-08-19
C00008,Oliver Lopez,Male,76,IL,Midwest,Small Business,2021-11-27
C00009,Luna Wilson,Other,36,AZ,West,Enterprise,2023-01-07
C00010,Amelia Wilson,Male,71,CA,West,Small Business,2021-09-21
C00011,Luna Gonzalez,Female,24,OH,Midwest,Individual,2021-02-13
C00012,Elijah Miller,Female,43,NC,South,Small Business,2022-06-15
C00013,Mia Hernandez,Other,67,GA,South,Family,2022-12-05
C00014,Amelia Miller,Female,74,NY,Northeast,Small Business,2021-04-12
C00015,Mateo Smith,Other,38,TX,South,Enterprise,2022-05-25
C00016,Amelia Gonzalez,Other,27,IL,Midwest,Small Business,2024-04-27
C00017,Noah Garcia,Other,76,NC,South,Small Business,2025-03-19
C00018,James Martinez,Female,22,IL,Midwest,Individual,2023-08-25
C00019,Evelyn Brown,Other,76,AZ,West,Individual,2022-10-21
C00020,James Williams,Female,58,IL,Midwest,Individual,2024-12-12
C00021,Liam Garcia,Female,56,OH,Midwest,Small Business,2024-04-11
C00022,James Martinez,Male,62,AZ,West,Small Business,2021-04-04
C00023,Noah Wilson,Male,25,NC,South,Family,2023-01-28
C00024,Harper Martinez,Female,53,GA,South,Family,2024-04-22
C00025,Isabella Miller,Male,56,NC,South,Small Business,2021-06-20
C00026,Harper Rodriguez,Female,30,AZ,West,Enterprise,2021-09-09
C00027,Levi Lopez,Female,66,OH,Midwest,Individual,2023-05-23
C00028,Oliver Jones,Male,30,GA,South,Family,2024-05-19
C00029,James Garcia,Male,78,IL,Midwest,Small Business,2021-10-13
C00030,Sophia Garcia,Female,45,AZ,West,Individual,2022-03-12
C00031,Oliver Smith,Male,60,TX,South,Individual,2025-06-13
C00032,Noah Gonzalez,Female,60,OH,Midwest,Individual,2023-09-23
C00033,Emma Gonzalez,Male,44,NC,South,Family,2022-08-26
C00034,Isabella Martinez,Male,48,IL,Midwest,Individual,2024-05-26
C00035,Emma Anderson,Other,61,CA,West,Enterprise,2022-08-03
C00036,Ethan Gonzalez,Other,68,OH,Midwest,Family,2022-03-14
C00037,Harper Anderson,Other,26,FL,South,Small Business,2024-05-12
C00038,Amelia Gonzalez,Female,22,FL,South,Enterprise,2021-03-23
C00039,Levi Johnson,Female,56,AZ,West,Individual,2021-12-27
C00040,Mia Martinez,Female,48,FL,South,Family,2021-07-10
C00041,Lucas Martinez,Other,46,OH,Midwest,Family,2024-11-03
C00042,James Davis,Male,77,FL,South,Small Business,2023-04-07
C00043,Amelia Brown,Female,23,NC,South,Enterprise,2025-04-27
C00044,Luna Johnson,Female,22,TX,South,Family,2022-05-02
C00045,Harper Smith,Female,36,IL,Midwest,Family,2023-08-15
C00046,Emma Hernandez,Male,44,GA,South,Individual,2022-07-21
C00047,Emma Garcia,Female,41,AZ,West,Family,2022-03-04
C00048,Mia Brown,Other,76,NY,Northeast,Individual,2022-12-23
C00049,Isabella Williams,Male,29,OH,Midwest,Individual,2021-07-14
C00050,Olivia Rodriguez,Other,34,AZ,West,Individual,2023-04-11
C00051,Amelia Hernandez,Male,65,GA,South,Family,2022-08-19
C00052,Emma Brown,Male,22,IL,Midwest,Family,2023-05-04
C00053,Sophia Johnson,Other,42,NC,South,Family,2022-09-11
C00054,Harper Wilson,Female,63,CA,West,Family,2024-02-10
C00055,Ethan Hernandez,Male,65,IL,Midwest,Enterprise,2021-03-22
C00056,Mateo Williams,Female,37,NC,South,Small Business,2022-02-27
C00057,Ethan Smith,Male,52,CA,West,Individual,2022-08-26
C00058,Leo Lopez,Female,33,OH,Midwest,Enterprise,2024-09-25
C00059,Mateo Gonzalez,Other,34,AZ,West,Small Business,2022-05-24
C00060,Mateo Gonzalez,Male,37,AZ,West,Enterprise,2025-01-25
C00061,Ava Hernandez,Female,74,GA,South,Family,2022-07-12
C00062,Noah Wilson,Female,42,PA,Northeast,Individual,2024-12-31
C00063,Liam Gonzalez,Male,69,PA,Northeast,Enterprise,2025-02-28
C00064,Leo Gonzalez,Other,37,GA,South,Enterprise,2025-03-08
C00065,Isabella Hernandez,Male,49,OH,Midwest,Enterprise,2022-10-03
C00066,Noah Rodriguez,Other,24,FL,South,Individual,2021-04-04
C00067,Leo Williams,Other,36,FL,South,Individual,2022-12-30
C00068,Amelia Garcia,Male,73,OH,Midwest,Individual,2023-01-19
C00069,Leo Brown,Other,54,NC,South,Enterprise,2023-10-18
C00070,James Davis,Other,44,NC,South,Small Business,2025-04-24
C00071,Harper Johnson,Female,62,FL,South,Family,2021-07-19
C00072,Sophia Anderson,Male,69,CA,West,Individual,2021-06-17
C00073,Levi Gonzalez,Female,75,NC,South,Family,2025-01-08
C00074,James Brown,Other,52,NC,South,Enterprise,2023-11-24
C00075,Oliver Anderson,Other,25,OH,Midwest,Individual,2021-02-14
C00076,Luna Smith,Other,55,NY,Northeast,Small Business,2023-03-29
C00077,Ava Brown,Other,64,NC,South,Family,2022-05-30
C00078,Sophia Lopez,Other,30,TX,South,Individual,2025-02-28
C00079,James Smith,Female,41,PA,Northeast,Small Business,2023-04-02
C00080,James Gonzalez,Female,36,OH,Midwest,Small Business,2021-07-22
C00081,Olivia Smith,Male,34,PA,Northeast,Individual,2024-03-26
C00082,Oliver Davis,Other,58,OH,Midwest,Individual,2023-02-02
C00083,Ethan Williams,Male,78,AZ,West,Family,2021-08-14
C00084,Liam Garcia,Female,66,IL,Midwest,Small Business,2022-03-14
C00085,Oliver Gonzalez,Male,64,NY,Northeast,Family,2024-04-22
C00086,Mateo Rodriguez,Female,53,NC,South,Small Business,2023-07-24
C00087,Evelyn Johnson,Other,78,GA,South,Individual,2025-03-07
C00088,Evelyn Jones,Other,59,NC,South,Enterprise,2021-03-23
C00089,Levi Davis,Other,71,OH,Midwest,Enterprise,2025-04-03
C00090,Sophia Davis,Female,50,OH,Midwest,Small Business,2024-01-19
C00091,Leo Brown,Other,29,NC,South,Individual,2023-02-23
C00092,Ethan Garcia,Female,33,FL,South,Small Business,2021-09-21
C00093,Elijah Martinez,Female,42,IL,Midwest,Small Business,2023-12-30
C00094,Ava Garcia,Female,44,NC,South,Enterprise,2022-05-23
C00095,Oliver Martinez,Other,46,FL,South,Family,2024-08-31
